"Gregorian Julian Space1 Wavelength Space2 Max Mode Ver Irradiancia Unc Spacen Quality"
"20051002.5 2453646.0  245.53  245.53 43 27 4.747540e-02 1.1767e-04     0.0"
"20051002.5 2453646.0  245.63  245.63 43 27 4.788088e-02 1.1719e-04     0.0"
"20051002.5 2453646.0  245.73  245.73 43 27 4.814255e-02 1.1668e-04     0.0"
"20051002.5 2453646.0  245.83  245.83 43 27 4.799718e-02 1.1616e-04     0.0"
"20051002.5 2453646.0  245.93  245.93 43 27 4.761850e-02 1.1561e-04     0.0"
"20051002.5 2453646.0  246.03  246.03 43 27 4.694692e-02 1.1504e-04     0.0"
"20051002.5 2453646.0  246.12  246.12 43 27 4.629526e-02 1.1451e-04     0.0"
"20051002.5 2453646.0  246.22  246.22 43 27 4.582030e-02 1.1390e-04     0.0"
"20051002.5 2453646.0  246.32  246.32 43 27 4.572062e-02 1.1326e-04     0.0"
"20051002.5 2453646.0  246.42  246.42 43 27 4.613806e-02 1.1261e-04     0.0"
"20051002.5 2453646.0  246.52  246.52 43 27 4.699864e-02 1.1193e-04     0.0"
"20051002.5 2453646.0  246.62  246.62 43 27 4.822306e-02 1.1124e-04     0.0"
"20051002.5 2453646.0  246.72  246.72 43 27 4.973388e-02 1.1052e-04     0.0"
"20051002.5 2453646.0  246.82  246.82 43 27 5.109285e-02 1.0977e-04     0.0"
"20051002.5 2453646.0  246.92  246.92 43 27 5.240223e-02 1.0901e-04     0.0"
"20051002.5 2453646.0  247.02  247.02 43 27 5.326135e-02 1.0823e-04     0.0"
"20051002.5 2453646.0  247.12  247.12 43 27 5.395811e-02 1.0742e-04     0.0"
"20051002.5 2453646.0  247.22  247.22 43 27 5.446498e-02 1.0659e-04     0.0"
"20051002.5 2453646.0  247.32  247.32 43 27 5.471600e-02 1.0574e-04     0.0"
"20051002.5 2453646.0  247.42  247.42 43 27 5.496881e-02 1.0487e-04     0.0"
"20051002.5 2453646.0  247.53  247.53 43 27 5.515596e-02 1.0389e-04     0.0"
"20051002.5 2453646.0  247.63  247.63 43 27 5.509610e-02 1.0297e-04     0.0"
"20051002.5 2453646.0  247.73  247.73 43 27 5.468867e-02 1.0203e-04     0.0"
"20051002.5 2453646.0  247.83  247.83 43 27 5.354540e-02 1.0107e-04     0.0"
"20051002.5 2453646.0  247.93  247.93 43 27 5.179823e-02 1.0009e-04     0.0"
"20051002.5 2453646.0  248.03  248.03 43 27 4.989531e-02 9.9085e-05     0.0"
"20051002.5 2453646.0  248.14  248.14 43 27 4.813907e-02 9.7954e-05     0.0"
"20051002.5 2453646.0  248.24  248.24 43 27 4.663431e-02 9.6904e-05     0.0"
"20051002.5 2453646.0  248.34  248.34 43 27 4.492048e-02 9.5833e-05     0.0"
"20051002.5 2453646.0  248.44  248.44 43 27 4.361595e-02 9.4739e-05     0.0"
"20051002.5 2453646.0  248.55  248.55 43 27 4.275568e-02 9.3512e-05     0.0"
"20051002.5 2453646.0  248.65  248.65 43 27 4.183227e-02 9.2373e-05     0.0"
"20051002.5 2453646.0  248.75  248.75 43 27 4.048588e-02 9.1194e-05     0.0"
"20051002.5 2453646.0  248.86  248.86 43 27 3.942541e-02 8.9892e-05     0.0"
"20051002.5 2453646.0  248.96  248.96 43 27 3.952501e-02 8.8687e-05     0.0"
"20051002.5 2453646.0  249.06  249.06 43 27 4.062397e-02 8.7502e-05     0.0"
"20051002.5 2453646.0  249.17  249.17 43 27 4.286587e-02 8.6249e-05     0.0"
"20051002.5 2453646.0  249.27  249.27 43 27 4.599585e-02 8.5156e-05     0.0"
"20051002.5 2453646.0  249.38  249.38 43 27 5.044121e-02 8.4003e-05     0.0"
"20051002.5 2453646.0  249.48  249.48 43 27 5.511666e-02 8.3001e-05     0.0"
"20051002.5 2453646.0  249.59  249.59 43 27 5.951160e-02 8.1949e-05     0.0"
"20051002.5 2453646.0  249.69  249.69 43 27 6.206183e-02 8.1038e-05     0.0"
"20051002.5 2453646.0  249.80  249.80 43 27 6.383299e-02 8.0086e-05     0.0"
"20051002.5 2453646.0  249.90  249.90 43 27 6.449610e-02 7.9266e-05     0.0"
"20051002.5 2453646.0  250.01  250.01 43 27 6.420415e-02 7.8414e-05     0.0"
"20051002.5 2453646.0  250.11  250.11 43 27 6.290372e-02 7.7686e-05     0.0"
"20051002.5 2453646.0  250.22  250.22 43 27 6.070055e-02 7.6936e-05     0.0"
"20051002.5 2453646.0  250.32  250.32 43 27 5.912384e-02 7.6300e-05     0.0"
"20051002.5 2453646.0  250.43  250.43 43 27 5.794677e-02 7.5652e-05     0.0"
"20051002.5 2453646.0  250.54  250.54 43 27 5.666841e-02 7.5057e-05     0.0"
"20051002.5 2453646.0  250.64  250.64 43 27 5.530838e-02 7.3954e-05     0.0"
"20051002.5 2453646.0  250.75  250.75 43 27 5.438114e-02 7.3405e-05     0.0"
"20051002.5 2453646.0  250.86  250.86 43 27 5.426515e-02 7.2914e-05     0.0"
"20051002.5 2453646.0  250.96  250.96 43 27 5.406861e-02 7.2516e-05     0.0"
"20051002.5 2453646.0  251.07  251.07 43 27 5.301466e-02 7.2134e-05     0.0"
"20051002.5 2453646.0  251.18  251.18 43 27 5.110690e-02 7.1809e-05     0.0"
"20051002.5 2453646.0  251.28  251.28 43 27 4.923125e-02 7.1563e-05     0.0"
"20051002.5 2453646.0  251.39  251.39 43 27 4.700403e-02 7.1347e-05     0.0"
"20051002.5 2453646.0  251.50  251.50 43 27 4.428415e-02 7.1188e-05     0.0"
"20051002.5 2453646.0  251.61  251.61 43 27 4.199411e-02 7.1087e-05     0.0"
"20051002.5 2453646.0  251.72  251.72 43 27 4.049633e-02 7.1043e-05     0.0"
"20051002.5 2453646.0  251.82  251.82 43 27 3.972227e-02 7.1052e-05     0.0"
"20051002.5 2453646.0  251.93  251.93 43 27 3.943775e-02 7.1117e-05     0.0"
"20051002.5 2453646.0  252.04  252.04 43 27 3.964901e-02 7.1239e-05     0.0"
"20051002.5 2453646.0  252.15  252.15 43 27 4.020301e-02 7.1419e-05     0.0"
"20051002.5 2453646.0  252.26  252.26 43 27 4.034414e-02 7.1655e-05     0.0"
"20051002.5 2453646.0  252.37  252.37 43 27 4.000462e-02 7.1949e-05     0.0"
"20051002.5 2453646.0  252.48  252.48 43 27 3.977489e-02 7.2301e-05     0.0"
